Fax,Tel,loc2,Manager,loc1,Address
021-577 3104,021-577 1919,Dassenberg,Colleen McQuire,WEST COAST,UTILITAS BUILDNEIL HARE RD
011-744-3088,011-7443079,DALVIEW,P HLAKUVA,EAST RAND,"V C SPAR , NO 1, GRAIGHOLM STREET DALVIE BRAKPAN 1544"
031-9060677,031-9064902,NTOKOZWENI,Noma Ntshangase,HIGHWAY,V863 Umlazi
011-811-8078,011-8115164,RIVERFIELD,R ROSS,EAST RAND,VAAL DRIVEPETERFIELD 1564
021-7824128,021-7821648,Valyland,Rowena Reichel,PENINSULA,"VALYLAND SHOPPING CENTRE, VALYLAND, 7975"
012-3773004,012-3792805,HERCULES,DS Motha,PRETORIA,Van Der Hoff Weg Hercules
023 2301852,023 2300001,Tulbagh,Tembisa Sifile,WEST COAST,VAN DER STEL ST
049-842 2150,049-842 2333,MIDDELBURG CAPE,Torr L.A,MIDLANDS,"Van der Walt Street, Middelburg Cape, 5900"
051-9910037,051-9910037,Marquard,Petrus Vorster,BETHLEHEM,"Van der Watt Street, Marquard"
021-903-8089,021-903-1523 /,Kuilsrivier,Ronnie Apollis,OVERERG,Van Riebeeck Street Kraaifontein
042-2732344,042-2732233,JOUBERTINA,Marias A D,PORT ELIZABETH,"Van Riebeeck Street, Joubertina"
058-4812450,058-4812450,Senekal,Ina Lues,BETHLEHEM,"Van Riebeeck Street, Senekal"
056-4710032,056-4710032,Steynsrus,Mary Moloi,BETHLEHEM,"Van Riebeeck Street, Steynsrus"
028-5721210,028-5721210,Barrydale,C T Jones,SOUTH CAPE,Van Riebeeckst 36 Barrydale
028-7221931,028-7221931,Heidelberg,A J Boonzaaier,SOUTH CAPE,Van Riebeeckst 50 Heidelberg
021-988-8098,021-988-3833 /7,Kraaifontein,Johan Ludick,OVERERG,Van Riebeek Street Kuilsrivier
012-6621424,012-6621424,P.V/RYNEVELD,SN Masenya,PRETORIA,Van ryneveld Ave Shop 11 Spar Centre
011-896-3912,011-8963912,CINDA PARK,G VAN DER BERG,EAST RAND,VAN WYK LOUW DRIVE PARKRAND 1463
011-766-2994,011-7635444/717,ROODEPOORT,ShouneezMahomed,SOUTH WEST RAND,VAN WYK ST 24 ROODEPOORT 1724
053-541 0047,053-5410047,BOSHOF,VACANT,KIMBERLY,VAN ZYLSTREET  BOSHOF
051-5220592,051-5220592,FAUNASIG,DOTTIE FOURIE,BLOEMFONTEIN,VEREENIGINGDRIVE FAUNA
040-673 3565,040-673 3318,PEDDIE,Mkosana M,MIDLANDS,"Victoria Street, Peddie, 5640"
047-5380026,047-5380012,VIEDGESVILLE,N.N.NTULI,UMTATA,VIEDGESVILLE LOC
021-535-1710,021-535-1751/2,Eppindust,Vacant,OVERERG,Viking Shopping Centre
043-7265875,043-7260226,VINCENT,C.P. Mpengula,EAST LONDON,"VINCENT PARK, VINCENT"
049-892 3416,049-892 3416,KROONVALE,Basson K,MIDLANDS,"Vink Street, Kroonvale, 6281"
053-6630093,053-6630093,PETRUSVILLE,VACANT,KIMBERLY,VISAGIESTREET  PETRUSVILLE
051-7130030,051-7130030,TROMPSBURG,VACANT,KIMBERLY,VOORTEKKER STREETTROMPSBURG
051-7530600,051-7530600,COLESBERG,CHARL DU PLESSIS,KIMBERLY,VOORTEKKERSQUARE  COLESBERG
042-2301728,042-2300444,KIRKWOOD,v d Westhuizen S P,PORT ELIZABETH,"Voortrekker Road, Kirkwood"
011-740-9647,011-7444700/1,BRAKPAN,J MPYE,EAST RAND,VOORTREKKER ST 682 BRAKPAN 1540
027-2181021,027-2181021,NIEUWOUDTVILLE,Mara De Wilde,UPINGTON,Voortrekker str
,023 3134303,Prince Alfred Hamlet,Vacancy,WEST COAST,VOORTREKKER STREET
018-5030012,014-5030012,GROOT-MARICO,MPHO MTSHATSHENI,POTCHEFSTROOM,VOORTREKKER STREET
045-9521031,045-9521101,INDWE,S.S. Qalinge,EAST LONDON,VOORTREKKER STREET INDWE
046-653 0018,046-653 0069 /,ALEXANDRIA,rotate from Kenton On Sea,MIDLANDS,"Voortrekker Street, Alexandria, 6185"
058-9240005,058-9240005,Memel,-,BETHLEHEM,"Voortrekker Street, Memel"
018 6731003,018 6731048,COLIGNY,ABRAM JONAS,POTCHEFSTROOM,VOORTREKKER99
054-4310722,054-4310703,KAKAMAS,Willie Esterhuizen,UPINGTON,Voortrekkerstr.
053-953 0583,053-9530061,REIVILO,JOHN BAUTLWANYE,VRYBURG,VOORTREKKERSTREET
011-805-4296,011-8054296,VORNA VALLEY,Mirriam Ramatsoma,NORTH WEST RAND,"VORNA VALLEY SPAR, ALBERTYN ST 334 VORNA VALLEY 1686"
031-9061197,031-9076050,UMLAZI,Zeph Malambule,HIGHWAY,W14 Umlazi
011-949-1474,011-9492322,WALKERVILLE,GC Smuts,EAST VAAL,WALKERVILLE SPAR 1876
021-6941811,021-6946281,Langa,Mcebisi Swartbooi,PENINSULA,"WASHINGTON DRIVE, LANGA, 7455"
031-7621418,031-7621412,LINK HILLS,Marie Nel,HIGHWAY,Waterfall Shopping Centre
012-3323120,012-3320852,TOTUISDAL,SJM de Clercq,PRETORIA,Waverly Shopping centre
013-9830465,013-9830158/68,Dennilton,Frank Maloma,WITBANK,Wayside Complex Main Road
011-824-4707,011-8246041,LAMBTON,E Pienaar,EAST VAAL,"WEBBER CROSSING, C/O THIRD & WEBBER ST, LAMBTON"
011-679-5194,011-6795194,WELOBIE,Floyd Mathebula,NORTH WEST RAND,"WELTEVREDEN SPAR, LOBELIA ST, WELTEVREDEN PARK, 1714"
057-7345014,057-7345014,WELTRIX,JAMES RAMABOLU,BLOEMFONTEIN,WELTRIX MINE COMPONG
011-804-9739,011-8049737,WENDYWOOD,Sannah Racheku,NORTH WEST RAND,"WENDYWOOD CENTRE, WENDY STR, WENDYWOOD"
021-392-3820,021-392-2759,Westridge,Faried Britton,OVERERG,Wespoort Street Westridge Mitchell's Plain
014 5331233,014 5332310,Protea Park,LEBOGANG MOKAILA,RUSTENBURG,WILDEVY AVE PROTEA PARK
014 5743003,014 5743003,Mooinooi,ADRI RHEEDERS,RUSTENBURG,WILKENSON AVENUE
011-764-1623,011-7641829,WILROPARK,M. Viljoen,SOUTH WEST RAND,"WILROPARK KWIKSPAR, C/O CR SWART DRIVE & MIMOSA ST. 1731"
043-7221275,043-7223009,PEFFERVILLE,Temp under renovations,EAST LONDON,WINDY RIDGE ROAD PEFFERVILLE
011-826-2402,011-8262401,WITFIELD,H OOSTHUIZEN,EAST RAND,"WITFIELD SQUARE, MAIN STREET, WITFIELD"
014 5655542,014 5655542,Witgoud,FIKILE JAOTSE,RUSTENBURG,WITGOUD HOSTEL NO. 8
011-339-7764,011-3393895,Wits,Van Loggerenberg FE,CENTRAL,"WITS UNIVERSITY, BRAAMFONTEIN 2001"
044-6950983,044-6951555,Hartenbos,R Solomons,SOUTH CAPE,Witwatersrandweg Hartenbos
014 5723687,014 5723687,Wonderkop,ERIC MULAUDZI,RUSTENBURG,WONDERKOP VILLAGE WESTERN PLATINUM MINES
012 7079058,012 7079058,Ya-rona,SNOWY MOMPE,RUSTENBURG,YA-RONA SUPERMARKET SHOP NO. 9 KLIPGAT
021-6338781,021-6377596/637,Gatesville,Cecil Qika,PENINSULA,"YUSUF GOOL BOULEVARD, GATESVILLE, 7764"
012-5431822,012-5674664,SINOVILLE,A Nel,PRETORIA,Zambezi Shopping Centre Zambezi Road
015-2964979,015-2962891,FAUNAPARK,BRITZ,PIETERSBURG,"ZAVANNA SHOPPING CENTRE, CNR GRIM & VORSTER"
044-2740785,044-2740785,Bridgton,H Rose,SOUTH CAPE,Zebraweg Bridgton Oudtshoorn
